t F Q M
1.0 9.162556464611836 0.0 1.0
1.0 9.281903448176905 0.0 1.0
1.0 9.403082664427016 0.0 1.0
1.0 9.526123211971969 0.0 1.0
1.0 9.651054657751473 0.0 1.0
1.0 9.777907044600502 0.0 1.0
1.0 9.906710898936524 0.0 1.0
1.0 10.037497238570982 0.0 1.0
1.0 10.170297580646565 0.0 1.0
1.0 10.305143949702828 0.0 1.0
1.0 10.442068885871674 0.0 1.0
1.0 10.581105453205305 0.0 1.0
1.0 10.722287248138482 0.0 1.0
1.0 10.86564840808726 0.0 1.0
1.0 11.011223620186653 0.0 1.0
1.0 11.159048130169111 0.0 1.0
1.0 11.30915775138649 0.0 1.0
1.0 11.461588873977385 0.0 1.0
1.0 11.616378474182664 0.0 1.0
1.0 11.773564123811118 0.0 1.0
1.0 11.93318399985808 0.0 1.0
1.0 12.09527689427909 0.0 1.0
1.0 12.259882223921517 0.0 1.0
1.0 12.42704004061627 0.0 1.0
1.0 12.596791041432603 0.0 1.0
1.0 12.769176579098236 0.0 1.0
1.0 12.944238672587884 0.0 1.0
1.0 13.122020017882493 0.0 1.0
1.0 13.302563998902299 0.0 1.0
1.0 13.485914698616345 0.0 1.0
1.0 13.672116910331233 0.0 1.0
1.0 13.861216149162278 0.0 1.0
1.0 14.053258663689629 0.0 1.0
1.0 14.248291447802789 0.0 1.0
1.0 14.446362252736133 0.0 1.0
1.0 14.64751959929889 0.0 1.0
1.0 15.26278230376168 0.0 1.0

0.8 -0.0011746916094369823 -4.848673343072019E-6 0.9943054895589011
0.8 0.0011746916094369823 4.848673343072019E-6 0.9943054895589011
0.8 0.0050433782186026736 1.4701960802534803E-5 0.994852693875965
0.8 0.009889267733917646 2.4913555667152045E-5 0.9951712685497929
0.8 0.015369298971456747 3.5657562014332236E-5 0.9954044849611606
0.8 0.021322634167475665 4.711300373000599E-5 0.9955904234882945
0.8 0.02765096150320236 5.9465035778415143E-5 0.9957456586503837
0.8 0.03428640357904831 7.290590848821896E-5 0.9958790947554463
0.8 0.04117860415054336 8.763587222660471E-5 0.99599613724142
0.8 0.04828838405317261 1.0386408081362614E-4 0.9961003437417222
0.8 0.055584211663023485 1.2180951487250125E-4 0.9961941948078794
0.8 0.06304006237879704 1.4170193514987197E-4 0.996279496628629
