Method gamma K vol
Direct 1.7 0.058 0.2774665488588298
Direct 1.7 0.060000000000000005 0.28824605765242206
Direct 1.7 0.062 0.2989203703671031
Direct 1.7 0.064 0.30932205803274665
Direct 1.7 0.066 0.3194251901351153
Direct 1.7 0.068 0.32923541808008766
Direct 1.7 0.07 0.3387653963748589
Direct 1.7 0.07200000000000001 0.34802909496893836
Direct 1.7 0.07400000000000001 0.3570402393336085
Direct 1.7 0.076 0.36581184742371575
Direct 1.7 0.078 0.37435610938670466
Direct 1.7 0.08 0.38268438599223786
Direct 1.7 0.082 0.3908072496076388
Direct 1.7 0.084 0.3987345391695949
Direct 1.7 0.08600000000000001 0.4064754177670917
Direct 1.7 0.08800000000000001 0.41403842829035575
Direct 1.7 0.09 0.4214315454220283
Direct 1.7 0.092 0.42866222304427665
Direct 1.7 0.094 0.43573743756547717
Direct 1.7 0.096 0.44266372745579624
Direct 1.7 0.098 0.44944722803866183
Direct 1.7 0.1 0.456093704606211
Direct 1.7 0.10200000000000001 0.46260858018952866
Direct 1.7 0.10400000000000001 0.46899696340875296
Direct 1.7 0.10600000000000001 0.47526367051855406
Direct 1.7 0.108 0.48141324910659206
Direct 1.7 0.11 0.48744999588761145
Direct 1.7 0.112 0.4933779758398343
Direct 1.7 0.114 0.4992010388934058
Direct 1.7 0.116 0.5049228328427069
Direct 1.7 0.11800000000000001 0.5105468199020781
Direct 1.7 0.12000000000000001 0.5160762876579085
Direct 1.7 0.122 0.5215143593528965
Direct 1.7 0.124 0.5268640074721325
Direct 1.7 0.126 0.5321280621131446
Direct 1.7 0.128 0.5373092179011737
Direct 1.7 0.13 0.5424100448724476
Direct 1.7 0.132 0.5474329969567859
Direct 1.7 0.134 0.5523804162299272
Direct 1.7 0.136 0.5572545392872188
Direct 1.7 0.138 0.56205750602977
Direct 1.7 0.14 0.5667913654645432
Direct 1.7 0.14200000000000002 0.5714580784047857
Direct 1.7 0.14400000000000002 0.5760595217241968
Direct 1.7 0.14600000000000002 0.5805974950652891
Direct 1.7 0.148 0.5850737264354403
Direct 1.7 0.15 0.5894898747225424
Direct 1.7 0.152 0.5938475314229787
Direct 1.7 0.154 0.5981482242509646
Direct 1.7 0.156 0.6023934222429876
Direct 1.7 0.158 0.606584539970887
Direct 1.7 0.16 0.6107229395292928
Direct 1.7 0.162 0.6148099314414103
Direct 1.7 0.164 0.6188467764099079
Direct 1.7 0.166 0.6228346885216495
Direct 1.7 0.168 0.6267748389753366
Direct 1.7 0.17 0.6306683589034392
Direct 1.7 0.17200000000000001 0.634516340680201
Direct 1.7 0.17400000000000002 0.6383198384143937
Direct 1.7 0.17600000000000002 0.6420798687790095
Direct 1.7 0.178 0.645797412773951
Direct 1.7 0.18 0.649473418239485
Direct 1.7 0.182 0.6531088024167733
Direct 1.7 0.184 0.6567044537954788
Direct 1.7 0.186 0.6602612329819
Direct 1.7 0.188 0.6637799729757244
Direct 1.7 0.19 0.6672614794925498
Direct 1.7 0.192 0.670706531757228
Direct 1.7 0.194 0.6741158838647462
Direct 1.7 0.196 0.6774902665339404
Direct 1.7 0.198 0.6808303888655771
Direct 1.7 0.2 0.6841369396781669

