Scheme Strike Density
TRBDF2 0.7789 8.72e-01
CN 0.7789 8.72e-01
Hagan 0.7889 8.83e-01
LMG3 0.7889 9.02e-01
LMG2 0.7889 9.02e-01
RAN 0.7889 9.02e-01
RE 0.7889 9.02e-01
TRBDF2 0.7889 9.02e-01
CN 0.7889 9.02e-01
Hagan 0.7990 9.17e-01
LMG3 0.7990 9.34e-01
LMG2 0.7990 9.34e-01
RAN 0.7990 9.34e-01
RE 0.7990 9.34e-01
TRBDF2 0.7990 9.34e-01
CN 0.7990 9.33e-01
Hagan 0.8090 9.51e-01
LMG3 0.8090 9.65e-01
LMG2 0.8090 9.65e-01
RAN 0.8090 9.65e-01
RE 0.8090 9.65e-01
TRBDF2 0.8090 9.65e-01
CN 0.8090 9.65e-01
Hagan 0.8191 9.86e-01
LMG3 0.8191 9.96e-01
LMG2 0.8191 9.96e-01
RAN 0.8191 9.96e-01
RE 0.8191 9.96e-01
TRBDF2 0.8191 9.96e-01
CN 0.8191 9.96e-01
Hagan 0.8291 1.02e+00
LMG3 0.8291 1.03e+00
LMG2 0.8291 1.03e+00
RAN 0.8291 1.03e+00
RE 0.8291 1.03e+00
TRBDF2 0.8291 1.03e+00
CN 0.8291 1.03e+00
Hagan 0.8392 1.06e+00
LMG3 0.8392 1.06e+00
LMG2 0.8392 1.06e+00
RAN 0.8392 1.06e+00
RE 0.8392 1.06e+00
TRBDF2 0.8392 1.06e+00
CN 0.8392 1.06e+00
Hagan 0.8492 1.09e+00
LMG3 0.8492 1.09e+00
LMG2 0.8492 1.09e+00
RAN 0.8492 1.09e+00
RE 0.8492 1.09e+00
TRBDF2 0.8492 1.09e+00
CN 0.8492 1.09e+00
Hagan 0.8593 1.13e+00
LMG3 0.8593 1.12e+00
LMG2 0.8593 1.12e+00
RAN 0.8593 1.12e+00
RE 0.8593 1.12e+00
TRBDF2 0.8593 1.12e+00
CN 0.8593 1.12e+00
Hagan 0.8693 1.16e+00
LMG3 0.8693 1.15e+00
LMG2 0.8693 1.15e+00
RAN 0.8693 1.15e+00
RE 0.8693 1.15e+00
TRBDF2 0.8693 1.15e+00
CN 0.8693 1.15e+00
Hagan 0.8794 1.19e+00
LMG3 0.8794 1.18e+00
LMG2 0.8794 1.18e+00
RAN 0.8794 1.18e+00
RE 0.8794 1.18e+00
TRBDF2 0.8794 1.18e+00
CN 0.8794 1.18e+00
Hagan 0.8894 1.23e+00
LMG3 0.8894 1.21e+00
LMG2 0.8894 1.21e+00
RAN 0.8894 1.21e+00
RE 0.8894 1.21e+00
TRBDF2 0.8894 1.21e+00
CN 0.8894 1.21e+00
Hagan 0.8995 1.26e+00
LMG3 0.8995 1.23e+00
LMG2 0.8995 1.23e+00
