Scheme Strike Density
CN 1.0252 1.4128e+00
Hagan 1.0295 1.4403e+00
CN 1.0295 1.4054e+00
Hagan 1.0337 1.4372e+00
CN 1.0337 1.3775e+00
Hagan 1.0379 1.4334e+00
CN 1.0379 1.3641e+00
Hagan 1.0421 1.4290e+00
CN 1.0421 1.3609e+00
Hagan 1.0464 1.4241e+00
CN 1.0464 1.3590e+00
Hagan 1.0506 1.4185e+00
CN 1.0506 1.3551e+00
Hagan 1.0548 1.4124e+00
CN 1.0548 1.3495e+00
Hagan 1.0591 1.4056e+00
CN 1.0591 1.3429e+00
Hagan 1.0634 1.3983e+00
CN 1.0634 1.3359e+00
Hagan 1.0676 1.3904e+00
CN 1.0676 1.3286e+00
Hagan 1.0719 1.3820e+00
CN 1.0719 1.3210e+00
Hagan 1.0762 1.3731e+00
CN 1.0762 1.3129e+00
Hagan 1.0805 1.3636e+00
CN 1.0805 1.3043e+00
Hagan 1.0848 1.3536e+00
CN 1.0848 1.2953e+00
Hagan 1.0891 1.3430e+00
CN 1.0891 1.2859e+00
Hagan 1.0934 1.3321e+00
CN 1.0934 1.2760e+00
Hagan 1.0978 1.3206e+00
CN 1.0978 1.2658e+00
Hagan 1.1021 1.3087e+00
CN 1.1021 1.2552e+00
Hagan 1.1065 1.2963e+00
CN 1.1065 1.2441e+00
Hagan 1.1109 1.2835e+00
CN 1.1109 1.2328e+00
Hagan 1.1153 1.2703e+00
CN 1.1153 1.2210e+00
Hagan 1.1197 1.2568e+00
CN 1.1197 1.2089e+00
Hagan 1.1242 1.2428e+00
CN 1.1242 1.1965e+00
Hagan 1.1286 1.2285e+00
CN 1.1286 1.1838e+00
Hagan 1.1331 1.2139e+00
CN 1.1331 1.1708e+00
Hagan 1.1376 1.1989e+00
CN 1.1376 1.1575e+00
Hagan 1.1421 1.1837e+00
CN 1.1421 1.1440e+00
Hagan 1.1466 1.1682e+00
CN 1.1466 1.1302e+00
Hagan 1.1512 1.1524e+00
CN 1.1512 1.1161e+00
Hagan 1.1557 1.1364e+00
CN 1.1557 1.1018e+00
Hagan 1.1603 1.1201e+00
CN 1.1603 1.0873e+00
Hagan 1.1649 1.1037e+00
CN 1.1649 1.0727e+00
Hagan 1.1696 1.0871e+00
CN 1.1696 1.0578e+00
Hagan 1.1742 1.0703e+00
CN 1.1742 1.0428e+00
Hagan 1.1789 1.0534e+00
CN 1.1789 1.0276e+00
Hagan 1.1836 1.0363e+00
CN 1.1836 1.0123e+00
Hagan 1.1884 1.0192e+00
CN 1.1884 9.9685e-01
Hagan 1.1932 1.0019e+00
