t F Q
1.0 0.6208530805687205 0.0
1.0 0.6303317535545024 0.0
1.0 0.6398104265402844 0.0
1.0 0.6492890995260664 0.0
1.0 0.6587677725118484 0.0
1.0 0.6682464454976303 0.0
1.0 0.6777251184834123 0.0
1.0 0.6872037914691944 0.0
1.0 0.6966824644549764 0.0
1.0 0.7061611374407584 0.0
1.0 0.7156398104265403 0.0
1.0 0.7251184834123223 0.0
1.0 0.7345971563981043 0.0
1.0 0.7440758293838863 0.0
1.0 0.7535545023696683 0.0
1.0 0.7630331753554503 0.0
1.0 0.7725118483412323 0.0
1.0 0.7819905213270143 0.0
1.0 0.7914691943127963 0.0
1.0 0.8009478672985783 0.0
1.0 0.8104265402843602 0.0
1.0 0.8199052132701422 0.0
1.0 0.8293838862559242 0.0
1.0 0.8388625592417063 0.0
1.0 0.8483412322274883 0.0
1.0 0.8578199052132702 0.0
1.0 0.8672985781990522 0.0
1.0 0.8767772511848342 0.0
1.0 0.8862559241706162 0.0
1.0 0.8957345971563981 0.0
1.0 0.9052132701421801 0.0
1.0 0.9146919431279622 0.0
1.0 0.9241706161137442 0.0
1.0 0.9336492890995262 0.0
1.0 0.9431279620853081 0.0
1.0 0.9526066350710901 0.0
1.0 0.9620853080568721 0.0
1.0 0.9715639810426541 0.0
1.0 0.981042654028436 0.0
1.0 0.9905213270142181 0.0
1.0 1.0 105.49999999999999
1.0 1.009478672985782 0.0
1.0 1.018957345971564 0.0
1.0 1.028436018957346 0.0
1.0 1.0379146919431281 0.0
1.0 1.04739336492891 0.0
1.0 1.056872037914692 0.0
1.0 1.066350710900474 0.0
1.0 1.075829383886256 0.0
1.0 1.085308056872038 0.0
1.0 1.09478672985782 0.0
1.0 1.104265402843602 0.0
1.0 1.113744075829384 0.0
1.0 1.123222748815166 0.0
1.0 1.132701421800948 0.0
1.0 1.14218009478673 0.0
1.0 1.1516587677725119 0.0
1.0 1.161137440758294 0.0
1.0 1.1706161137440758 0.0
1.0 1.180094786729858 0.0
1.0 1.18957345971564 0.0
1.0 1.1990521327014219 0.0
1.0 1.208530805687204 0.0
1.0 1.2180094786729858 0.0
1.0 1.227488151658768 0.0
1.0 1.2369668246445498 0.0
1.0 1.2464454976303319 0.0
1.0 1.255924170616114 0.0
1.0 1.2654028436018958 0.0
1.0 1.274881516587678 0.0
1.0 1.2843601895734598 0.0
1.0 1.2938388625592419 0.0
1.0 1.3033175355450237 0.0
1.0 1.3127962085308058 0.0
1.0 1.3222748815165877 0.0
1.0 1.3317535545023698 0.0
1.0 1.3412322274881519 0.0
1.0 1.3507109004739337 0.0
1.0 1.3601895734597158 0.0
1.0 1.3696682464454977 0.0
1.0 1.3791469194312798 0.0
1.0 1.3886255924170616 0.0
1.0 1.3981042654028437 0.0
1.0 1.4075829383886258 0.0
1.0 1.4170616113744077 0.0
1.0 1.4265402843601898 0.0
1.0 1.4360189573459716 0.0
1.0 1.4454976303317537 0.0
1.0 1.4549763033175356 0.0
1.0 1.4644549763033177 0.0
1.0 1.4739336492890995 0.0
1.0 1.4834123222748816 0.0
1.0 1.4928909952606637 0.0
1.0 1.5023696682464456 0.0
1.0 1.5118483412322277 0.0
1.0 1.5213270142180095 0.0
1.0 1.5308056872037916 0.0
1.0 1.5402843601895735 0.0
1.0 1.5497630331753556 0.0
1.0 1.5592417061611377 0.0
1.0 1.5687203791469195 0.0
1.0 1.5781990521327016 0.0
1.0 1.5876777251184835 0.0
1.0 1.5971563981042656 0.0
1.0 1.6066350710900474 0.0
1.0 1.6161137440758295 0.0
1.0 1.6255924170616114 0.0
1.0 1.6350710900473935 0.0
1.0 1.6445497630331756 0.0
1.0 1.6540284360189574 0.0
1.0 1.6635071090047395 0.0
1.0 1.6729857819905214 0.0
1.0 1.6824644549763035 0.0
1.0 1.6919431279620853 0.0
1.0 1.7014218009478674 0.0
1.0 1.7109004739336495 0.0
1.0 1.7203791469194314 0.0
1.0 1.7298578199052135 0.0
1.0 1.7393364928909953 0.0
1.0 1.7488151658767774 0.0
1.0 1.7582938388625593 0.0
1.0 1.7677725118483414 0.0
1.0 1.7772511848341233 0.0
1.0 1.7867298578199053 0.0
1.0 1.7962085308056874 0.0
1.0 1.8056872037914693 0.0
1.0 1.8151658767772514 0.0
